Name,Unit,Opt Name,List,Min Bounds,Max Bounds,Min Opt Bounds,Max Opt Bounds,Notes
gear_ratio_1,,gear_ratio_idx_1,"2, 4, 5, 10",0.0,3.0,0.0,3.0,stage 1  gear ratio
module_1,mm,module_idx_1,"0.5, 0.8, 1.0, 1.5, 2.0, 2.5, 3.0, 4.0, 5.0, 6.0",0.0,9.0,0.0,9.0,stage 1 module
module_2,mm,module_idx_2,"0.5, 0.8, 1.0, 1.5, 2.0, 2.5, 3.0, 4.0, 5.0, 6.0",0.0,9.0,0.0,9.0,stage 2 module
phi_1,deg,phi_idx_1,"14.5, 20.0",0.0,1.0,0.0,1.0,stage 1 pressure angle
phi_2,deg,phi_idx_2,"14.5, 20.0",0.0,1.0,0.0,1.0,stage 2 pressure angle
